,month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_humidity,mean_sunshine_hrs,mean_temp,total_days
239,2002-08,17.8,14,54.2,79.2,6.7,28.5,31
240,2002-09,38.9,9,124.2,81.7,5.5,28.1,30
241,2002-10,3.2,7,10.8,79.8,6.2,28.7,31
242,2002-11,84.0,15,307.2,85.8,4.6,27.4,30
243,2002-12,38.6,24,255.0,88.7,4.8,27.2,31
244,2003-01,194.4,20,444.2,86.9,4.7,26.7,31
245,2003-02,82.2,13,172.9,85.0,5.8,27.1,28
246,2003-03,38.3,11,154.6,83.8,6.9,28.1,31
247,2003-04,42.9,20,159.9,86.7,5.1,27.9,30
248,2003-05,33.0,11,81.8,81.7,5.8,29.2,31
249,2003-06,23.2,12,50.3,78.5,7.0,28.9,30
250,2003-07,30.9,14,170.4,81.7,5.6,28.1,31
251,2003-08,64.4,13,193.6,83.1,6.1,28.2,31
252,2003-09,60.0,15,205.3,84.8,5.0,27.6,30
253,2003-10,56.6,21,351.4,84.9,5.1,27.6,31
254,2003-11,41.3,19,133.8,87.3,4.2,27.1,30
255,2003-12,92.1,17,273.0,87.2,3.9,26.5,31
256,2004-01,177.8,13,600.9,86.7,6.7,26.9,31
257,2004-02,19.2,4,31.9,80.5,7.7,27.6,29
258,2004-03,122.8,16,269.4,85.8,4.8,27.7,31
259,2004-04,18.1,9,57.1,82.3,7.0,28.9,30
260,2004-05,73.4,13,137.6,82.1,6.0,28.9,31
261,2004-06,68.1,8,127.2,79.8,6.3,29.0,30
262,2004-07,34.3,20,166.6,85.3,4.2,27.3,31
263,2004-08,111.5,8,185.2,80.3,7.3,28.3,31
264,2004-09,29.1,14,128.9,83.6,5.9,27.8,30
265,2004-10,25.3,13,125.6,83.9,5.0,27.8,31
266,2004-11,62.4,15,166.2,86.1,5.8,27.3,30
267,2004-12,36.4,14,139.8,85.2,4.9,26.8,31
268,2005-01,96.7,8,163.2,83.3,6.5,26.6,31
269,2005-02,7.2,3,8.4,77.7,9.1,28.5,28
270,2005-03,20.5,12,82.4,80.3,7.2,28.5,31
271,2005-04,49.6,10,81.7,81.0,7.0,28.7,30
272,2005-05,58.7,20,331.1,84.6,5.5,28.5,31
273,2005-06,27.6,15,82.3,82.7,5.4,28.8,30
274,2005-07,26.3,15,104.0,84.0,5.4,28.0,31
275,2005-08,13.8,13,58.5,82.9,6.5,28.2,31
276,2005-09,43.4,18,175.7,84.2,6.2,28.2,30
277,2005-10,76.2,19,314.5,85.2,5.1,27.6,31
278,2005-11,133.8,23,362.9,86.4,4.4,27.3,30
279,2005-12,47.3,19,166.0,85.6,4.5,27.3,31
280,2006-01,131.7,20,454.4,87.8,4.8,26.5,31
281,2006-02,44.5,8,115.5,84.0,7.4,27.5,28
282,2006-03,35.7,9,83.1,81.3,7.1,28.3,31
283,2006-04,43.3,18,239.8,87.0,5.3,27.6,30
284,2006-05,36.6,14,205.7,85.2,5.0,28.1,31
285,2006-06,37.3,16,236.8,86.3,5.5,27.8,30
286,2006-07,54.8,15,153.8,83.8,6.9,28.4,31
287,2006-08,30.4,14,127.3,81.9,6.7,28.3,31
288,2006-09,32.2,12,83.3,81.0,5.3,28.0,30
289,2006-10,37.8,8,102.0,80.9,4.8,28.3,31
290,2006-11,64.0,18,185.6,87.4,5.6,27.3,30
291,2006-12,198.0,22,765.9,88.5,3.2,26.6,31
292,2007-01,143.8,20,450.1,86.8,4.1,26.5,31
293,2007-02,51.4,3,105.5,82.5,7.6,27.3,28
294,2007-03,68.8,21,269.1,84.9,5.8,27.5,31
295,2007-04,102.4,14,240.2,84.7,5.9,28.1,30
296,2007-05,21.9,16,127.2,84.8,5.5,28.3,31
297,2007-06,38.0,12,139.0,82.8,6.0,28.4,30
298,2007-07,23.0,19,141.7,84.8,3.8,27.7,31
299,2007-08,55.9,20,190.7,82.9,5.7,27.7,31
300,2007-09,52.1,13,149.0,83.3,5.8,27.8,30
301,2007-10,51.8,16,237.2,83.2,5.6,27.8,31
302,2007-11,60.1,21,367.9,86.5,3.5,26.9,30
303,2007-12,159.0,20,468.6,86.8,4.5,26.4,31
304,2008-01,123.1,19,262.6,86.0,6.1,26.8,31
305,2008-02,48.5,8,129.2,82.9,5.5,26.7,29
306,2008-03,48.1,16,294.1,87.1,4.3,26.5,31
307,2008-04,34.2,13,87.2,82.0,6.0,28.1,30
308,2008-05,42.3,11,124.9,79.1,6.6,28.8,31
309,2008-06,45.2,12,118.3,81.5,5.6,28.2,30
310,2008-07,23.5,15,89.1,81.3,4.9,27.8,31
311,2008-08,133.9,18,327.3,83.8,5.5,27.4,31
312,2008-09,43.5,18,164.4,82.7,5.1,27.7,30
313,2008-10,41.6,19,159.5,84.9,4.5,27.6,31
314,2008-11,63.3,16,324.3,85.9,4.0,27.3,30
315,2008-12,52.0,17,244.2,83.7,4.8,26.9,31
316,2009-01,36.0,5,38.3,79.1,6.6,26.8,31
317,2009-02,74.2,8,201.8,80.7,6.4,27.3,28
318,2009-03,56.3,19,223.3,85.4,5.5,27.2,31
319,2009-04,86.6,12,183.7,82.2,6.2,28.5,30
320,2009-05,41.3,17,198.6,83.0,6.6,28.7,31
321,2009-06,5.8,8,21.8,79.8,7.0,29.1,30
322,2009-07,24.4,16,161.0,80.8,6.2,28.3,31
323,2009-08,35.5,12,177.8,80.7,6.5,28.3,31
324,2009-09,63.0,13,109.6,82.0,5.6,28.3,30
325,2009-10,38.4,15,133.4,82.8,5.4,28.2,31
326,2009-11,61.4,23,281.8,85.6,4.7,27.2,30
327,2009-12,42.6,18,189.8,86.3,4.7,27.1,31
328,2010-01,24.5,10,69.5,82.1,7.1,27.5,31
329,2010-02,2.9,4,6.3,77.3,8.8,28.9,28
330,2010-03,57.6,11,238.0,79.9,6.1,28.6,31
331,2010-04,40.0,18,158.5,84.1,6.2,28.6,30
332,2010-05,90.5,17,157.5,82.2,6.5,29.2,31
333,2010-06,43.0,19,240.5,83.9,5.1,28.3,30
334,2010-07,121.1,18,298.5,84.8,4.6,27.7,31
335,2010-08,60.2,16,158.4,84.2,5.4,27.9,31
336,2010-09,28.0,13,121.5,82.5,5.7,28.0,30
337,2010-10,58.1,17,166.2,82.3,4.2,28.3,31
338,2010-11,41.6,21,278.8,85.9,5.0,27.4,30
339,2010-12,85.8,14,181.4,85.3,3.6,26.8,31
340,2011-01,216.2,17,513.2,85.8,4.5,26.3,31
341,2011-02,17.4,8,23.0,81.1,7.5,27.3,28
342,2011-03,54.0,22,256.6,85.5,4.6,27.1,31
343,2011-04,61.8,12,217.8,83.9,7.2,27.9,30
344,2011-05,34.2,15,127.0,85.3,5.9,28.5,31
345,2011-06,82.0,15,213.0,83.7,5.0,28.4,30
346,2011-07,30.0,7,76.6,81.3,7.8,28.7,31
347,2011-08,30.2,13,81.4,82.6,6.1,27.9,31
348,2011-09,40.4,14,136.4,82.7,5.1,27.8,30
349,2011-10,54.0,20,216.8,87.4,5.3,27.3,31
350,2011-11,78.6,24,377.8,87.8,4.6,27.1,30
351,2011-12,87.4,21,284.6,88.4,3.3,26.6,31
352,2012-01,26.2,16,106.1,87.3,6.0,26.7,31
353,2012-02,38.4,11,83.6,85.6,7.0,27.2,29
354,2012-03,92.3,21,313.4,87.3,4.2,27.0,31
355,2012-04,48.4,20,260.6,85.1,5.8,27.6,30
356,2012-05,79.2,19,292.0,83.1,5.6,28.2,31
357,2012-06,38.2,8,53.0,79.0,6.0,28.7,30
358,2012-07,35.4,17,130.8,81.1,6.2,27.7,31
359,2012-08,31.0,12,119.0,79.8,6.1,27.9,31
360,2012-09,35.8,10,107.6,79.7,5.6,27.9,30
361,2012-10,22.6,13,122.2,81.3,5.9,27.7,31
362,2012-11,49.2,22,208.2,85.4,4.4,27.1,30
363,2012-12,78.8,22,363.4,87.0,3.6,26.7,31
364,2013-01,73.0,15,262.0,82.1,6.0,27.1,31
365,2013-02,95.2,22,395.2,86.9,4.0,26.5,28
366,2013-03,29.6,10,85.8,80.4,7.5,28.3,31
367,2013-04,41.6,19,159.4,82.7,5.2,28.2,30
368,2013-05,46.2,17,211.4,83.1,5.4,28.2,31
369,2013-06,22.4,12,111.4,74.6,6.4,29.0,30
370,2013-07,37.4,15,174.6,79.9,5.7,27.8,31
371,2013-08,43.2,15,165.6,79.0,6.1,27.9,31
372,2013-09,52.6,19,257.0,81.3,4.6,27.5,30
373,2013-10,139.8,19,285.4,79.9,6.3,27.7,31
374,2013-11,44.0,22,292.4,84.6,4.5,27.1,30
375,2013-12,119.8,21,348.2,85.8,3.5,26.5,31
376,2014-01,31.2,5,75.4,78.5,5.3,26.2,31
377,2014-02,0.2,1,0.2,74.5,8.8,27.2,28
378,2014-03,52.6,6,66.0,76.0,8.0,27.9,31
379,2014-04,28.8,17,110.0,80.0,5.7,28.2,30
380,2014-05,22.2,18,125.8,80.2,5.8,28.6,31
381,2014-06,18.8,11,71.4,77.5,6.0,29.0,30
382,2014-07,29.0,15,148.6,78.3,5.5,28.7,31
383,2014-08,44.2,20,241.0,79.7,4.5,27.7,31
384,2014-09,34.6,9,83.6,75.6,7.0,28.5,30
385,2014-10,32.8,10,120.0,77.0,6.0,28.4,31
386,2014-11,64.4,23,250.8,82.4,5.4,27.5,30
387,2014-12,48.2,17,245.6,82.6,3.7,27.0,31
388,2015-01,33.6,6,79.6,77.6,7.4,26.9,31
389,2015-02,10.8,6,18.8,75.4,7.3,27.0,28
390,2015-03,46.0,5,84.4,75.8,7.3,28.2,31
391,2015-04,18.8,13,73.2,77.1,7.2,28.6,30
392,2015-05,22.2,12,89.0,78.9,5.8,28.7,31
393,2015-06,28.4,10,95.8,75.8,6.7,29.0,30
394,2015-07,45.8,13,116.8,74.9,7.1,29.1,31
395,2015-08,63.2,11,185.8,76.7,6.1,28.4,31
396,2015-09,18.4,8,61.6,75.0,4.3,28.7,30
397,2015-10,28.6,9,87.2,75.4,4.7,28.7,31
398,2015-11,25.8,13,72.6,79.1,4.8,28.0,30
399,2015-12,40.4,19,302.3,81.1,5.3,27.7,31
400,2016-01,39.6,15,126.6,79.6,7.2,28.3,31
401,2016-02,71.8,10,186.0,78.8,6.5,27.8,29
402,2016-03,2.4,6,6.2,74.7,8.0,29.0,31
403,2016-04,18.2,14,89.8,75.6,7.0,29.4,30
404,2016-05,54.8,12,193.8,77.4,6.2,29.3,31
405,2016-06,67.8,13,162.8,77.7,5.4,28.5,30
406,2016-07,59.4,20,168.6,77.3,6.3,28.4,31
407,2016-08,30.6,15,139.2,74.0,6.7,28.9,31
408,2016-09,34.0,15,118.9,73.9,5.5,28.3,30
409,2016-10,75.4,16,181.0,72.0,4.6,28.3,31
410,2016-11,65.6,20,290.2,77.6,3.5,27.4,30
411,2016-12,73.0,23,292.6,72.8,5.1,27.4,31
412,2017-01,60.6,21,197.6,84.8,4.8,26.9,31
413,2017-02,31.0,15,158.4,83.2,7.1,26.9,28
414,2017-03,30.2,11,136.2,82.5,6.1,27.4,31
415,2017-04,42.8,21,208.6,83.5,5.3,27.8,30
416,2017-05,44.8,15,190.0,82.8,5.9,28.5,31
417,2017-06,29.6,10,106.0,80.2,6.3,28.5,30
418,2017-07,30.2,9,79.6,79.6,7.0,28.3,31
419,2017-08,29.4,18,84.2,79.9,6.1,28.1,31
420,2017-09,20.2,19,124.4,81.0,5.7,28.0,30
421,2017-10,31.2,18,120.8,82.5,5.5,27.9,31
422,2017-11,45.2,24,268.6,86.3,4.2,27.1,30
423,2017-12,69.8,23,371.2,85.2,5.6,27.0,31
424,2018-01,45.8,25,287.0,86.6,4.1,26.1,31
425,2018-02,13.0,5,14.8,77.2,8.0,27.2,28
426,2018-03,15.2,10,44.6,78.4,6.4,28.0,31
427,2018-04,14.0,14,61.2,78.5,6.8,28.5,30
428,2018-05,47.4,19,132.2,79.0,5.8,28.7,31
429,2018-06,46.8,17,182.6,79.3,4.1,28.4,30
430,2018-07,32.4,10,143.2,77.7,6.1,28.5,31
431,2018-08,34.6,11,121.6,77.0,6.7,28.5,31
432,2018-09,45.0,13,144.4,77.1,6.0,28.0,30
433,2018-10,60.6,18,234.4,79.7,6.1,27.9,31
434,2018-11,20.6,27,169.6,83.2,3.8,27.3,30
435,2018-12,43.8,19,172.6,81.5,5.1,27.6,31
436,2019-01,38.2,9,63.6,75.6,7.1,28.0,31
437,2019-02,13.4,5,31.6,74.1,9.2,28.2,28
438,2019-03,29.0,6,72.2,72.3,8.3,28.7,31
439,2019-04,52.4,9,174.8,77.6,5.9,28.6,30
440,2019-05,17.2,13,69.0,79.2,7.0,29.3,31
441,2019-06,37.6,16,173.8,79.5,5.3,28.4,30
442,2019-07,6.6,8,12.2,75.2,7.5,29.0,31
443,2019-08,3.8,6,11.8,72.1,7.6,29.1,31
444,2019-09,16.4,4,22.8,73.0,6.7,29.0,30
445,2019-10,92.2,15,176.8,78.1,6.5,28.1,31
446,2019-11,73.4,15,137.4,79.2,5.5,28.0,30
447,2019-12,74.2,14,421.5,83.9,4.8,26.7,31
448,2020-01,38.0,6,88.4,77.9,7.1,27.7,31
449,2020-02,23.8,8,65.0,76.0,8.3,27.9,29
450,2020-03,47.4,8,108.8,75.2,7.6,28.6,31
451,2020-04,51.8,12,188.0,76.4,7.1,28.9,30
452,2020-05,53.8,16,255.6,79.1,5.7,28.9,31
453,2020-06,41.0,21,233.8,80.2,4.3,28.1,30
454,2020-07,30.4,22,140.8,78.2,5.7,27.9,31
455,2020-08,34.6,12,103.4,76.8,6.4,28.3,31
456,2020-09,32.8,18,150.2,79.0,4.8,27.5,30
457,2020-10,19.0,16,78.8,75.4,4.3,28.3,31
458,2020-11,64.2,19,220.6,81.7,4.0,27.2,30
459,2020-12,58.2,20,253.2,81.1,5.2,27.2,31
460,2021-01,210.6,17,692.8,82.6,4.2,26.0,31
461,2021-02,0.6,2,1.0,73.8,8.2,27.3,28
462,2021-03,38.0,14,182.4,76.6,7.3,27.9,31
463,2021-04,83.8,14,290.4,77.4,6.8,28.2,30
464,2021-05,49.8,13,245.8,79.3,6.0,28.7,31
465,2021-06,23.8,20,93.4,77.8,6.5,28.5,30
466,2021-07,75.0,12,195.8,76.5,6.8,28.6,31
467,2021-08,71.4,24,293.6,80.4,4.8,27.6,31
468,2021-09,63.4,14,205.4,77.3,6.4,28.3,30
469,2021-10,59.6,14,177.0,78.3,6.2,28.5,31
470,2021-11,47.8,23,312.4,81.7,4.9,27.6,30
471,2021-12,46.8,15,119.6,79.7,5.4,27.7,31
472,2022-01,50.0,9,99.8,77.4,8.3,27.4,31
473,2022-02,29.6,16,175.0,80.3,5.9,27.3,28
474,2022-03,36.2,21,163.2,79.2,6.4,28.1,31
475,2022-04,58.8,18,239.6,80.0,5.2,28.1,30
476,2022-05,44.6,12,102.0,76.5,6.7,29.2,31
477,2022-06,59.4,17,211.8,79.1,4.7,27.9,30
478,2022-07,27.8,16,145.2,76.8,6.2,28.6,31
479,2022-08,32.4,15,141.4,77.4,5.5,28.1,31
