epi_week,dengue_cases
2012-W01,74
2012-W02,66
2012-W03,61
2012-W04,52
2012-W05,85
2012-W06,87
2012-W07,65
2012-W08,51
2012-W09,55
2012-W10,46
2012-W11,64
2012-W12,73
2012-W13,48
2012-W14,52
2012-W15,82
2012-W16,77
2012-W17,64
2012-W18,88
2012-W19,97
2012-W20,80
2012-W21,80
2012-W22,81
2012-W23,100
2012-W24,88
2012-W25,129
2012-W26,151
2012-W27,140
2012-W28,132
2012-W29,125
2012-W30,110
2012-W31,94
2012-W32,127
2012-W33,115
2012-W34,92
2012-W35,102
2012-W36,76
2012-W37,74
2012-W38,72
2012-W39,100
2012-W40,104
2012-W41,123
2012-W42,105
2012-W43,84
2012-W44,104
2012-W45,100
2012-W46,88
2012-W47,100
2012-W48,80
2012-W49,78
2012-W50,105
2012-W51,94
2012-W52,112
2013-W01,134
2013-W02,205
2013-W03,219
2013-W04,267
2013-W05,293
2013-W06,322
2013-W07,247
2013-W08,296
2013-W09,249
2013-W10,273
2013-W11,308
2013-W12,307
2013-W13,316
2013-W14,406
2013-W15,492
2013-W16,509
2013-W17,538
2013-W18,547
2013-W19,558
2013-W20,611
2013-W21,640
2013-W22,746
2013-W23,814
2013-W24,809
2013-W25,842
2013-W26,806
2013-W27,678
2013-W28,541
2013-W29,390
2013-W30,306
2013-W31,289
2013-W32,256
2013-W33,378
2013-W34,341
2013-W35,386
2013-W36,452
2013-W37,339
2013-W38,376
2013-W39,406
2013-W40,441
2013-W41,438
2013-W42,374
2013-W43,495
2013-W44,458
2013-W45,402
2013-W46,444
2013-W47,365
2013-W48,372
2013-W49,347
2013-W50,381
2013-W51,371
2013-W52,414
2014-W01,437
2014-W02,479
2014-W03,401
2014-W04,336
2014-W05,234
2014-W06,274
2014-W07,369
2014-W08,194
2014-W09,187
2014-W10,210
2014-W11,225
2014-W12,210
2014-W13,225
2014-W14,240
2014-W15,245
2014-W16,235
2014-W17,282
2014-W18,251
2014-W19,261
2014-W20,291
2014-W21,428
2014-W22,456
2014-W23,459
2014-W24,506
2014-W25,551
2014-W26,671
2014-W27,891
2014-W28,819
2014-W29,746
2014-W30,634
2014-W31,484
2014-W32,545
2014-W33,438
2014-W34,418
2014-W35,367
2014-W36,339
2014-W37,362
2014-W38,397
2014-W39,345
2014-W40,339
2014-W41,278
2014-W42,297
2014-W43,213
2014-W44,186
2014-W45,169
2014-W46,158
2014-W47,149
2014-W48,162
2014-W49,212
2014-W50,177
2014-W51,198
2014-W52,346
2015-W01,257
2015-W02,228
2015-W03,237
2015-W04,259
2015-W05,212
2015-W06,173
2015-W07,100
2015-W08,172
2015-W09,190
2015-W10,110
2015-W11,91
2015-W12,130
2015-W13,91
2015-W14,107
2015-W15,137
2015-W16,113
2015-W17,120
2015-W18,135
2015-W19,158
2015-W20,109
2015-W21,180
2015-W22,152
2015-W23,193
2015-W24,207
2015-W25,240
2015-W26,242
2015-W27,272
2015-W28,263
2015-W29,293
2015-W30,250
2015-W31,226
2015-W32,221
2015-W33,250
2015-W34,225
2015-W35,246
2015-W36,217
2015-W37,303
2015-W38,214
2015-W39,257
2015-W40,235
2015-W41,235
2015-W42,224
2015-W43,246
2015-W44,266
2015-W45,198
2015-W46,254
2015-W47,286
2015-W48,259
2015-W49,357
2015-W50,333
2015-W51,372
2015-W52,458
2016-W01,549
2016-W02,628
2016-W03,636
2016-W04,630
2016-W05,530
2016-W06,420
2016-W07,593
2016-W08,512
2016-W09,412
2016-W10,397
2016-W11,374
2016-W12,308
2016-W13,377
2016-W14,292
2016-W15,225
2016-W16,231
2016-W17,244
2016-W18,181
2016-W19,217
2016-W20,212
2016-W21,198
2016-W22,220
2016-W23,160
2016-W24,193
2016-W25,215
2016-W26,234
2016-W27,247
2016-W28,223
2016-W29,266
2016-W30,222
2016-W31,211
2016-W32,198
2016-W33,222
2016-W34,274
2016-W35,311
2016-W36,242
2016-W37,174
2016-W38,173
2016-W39,138
2016-W40,125
2016-W41,94
2016-W42,108
2016-W43,84
2016-W44,86
2016-W45,84
2016-W46,72
2016-W47,75
2016-W48,86
2016-W49,59
2016-W50,81
2016-W51,72
2016-W52,64
2017-W01,70
2017-W02,91
2017-W03,75
2017-W04,66
2017-W05,62
2017-W06,77
2017-W07,53
2017-W08,54
2017-W09,41
2017-W10,32
2017-W11,35
2017-W12,32
2017-W13,50
2017-W14,37
2017-W15,32
2017-W16,51
2017-W17,37
2017-W18,42
2017-W19,48
2017-W20,50
2017-W21,50
2017-W22,66
2017-W23,62
2017-W24,80
2017-W25,73
2017-W26,75
2017-W27,63
2017-W28,53
2017-W29,51
2017-W30,67
2017-W31,60
2017-W32,56
2017-W33,53
2017-W34,52
2017-W35,33
2017-W36,40
2017-W37,53
2017-W38,59
2017-W39,39
2017-W40,52
2017-W41,55
2017-W42,63
2017-W43,77
2017-W44,62
2017-W45,44
2017-W46,50
2017-W47,24
2017-W48,38
2017-W49,34
2017-W50,40
2017-W51,51
2017-W52,66
2018-W01,83
2018-W02,68
2018-W03,54
2018-W04,45
2018-W05,48
2018-W06,50
2018-W07,28
2018-W08,39
2018-W09,51
2018-W10,37
2018-W11,39
2018-W12,36
2018-W13,24
2018-W14,38
2018-W15,38
2018-W16,56
2018-W17,56
2018-W18,77
2018-W19,62
2018-W20,64
2018-W21,65
2018-W22,54
2018-W23,75
2018-W24,55
2018-W25,61
2018-W26,76
2018-W27,58
2018-W28,44
2018-W29,41
2018-W30,56
2018-W31,51
2018-W32,59
2018-W33,43
2018-W34,68
2018-W35,75
2018-W36,76
2018-W37,49
2018-W38,63
2018-W39,40
2018-W40,51
2018-W41,51
2018-W42,62
2018-W43,78
2018-W44,75
2018-W45,71
2018-W46,78
2018-W47,97
2018-W48,109
2018-W49,115
2018-W50,108
2018-W51,128
2018-W52,160
2019-W01,207
2019-W02,245
2019-W03,215
2019-W04,222
2019-W05,182
2019-W06,138
2019-W07,235
2019-W08,182
2019-W09,157
2019-W10,134
2019-W11,109
2019-W12,97
2019-W13,100
2019-W14,108
2019-W15,125
2019-W16,135
2019-W17,157
2019-W18,194
2019-W19,287
2019-W20,309
2019-W21,378
2019-W22,401
2019-W23,400
2019-W24,467
2019-W25,433
2019-W26,497
2019-W27,593
2019-W28,663
2019-W29,646
2019-W30,605
2019-W31,599
2019-W32,523
2019-W33,524
2019-W34,474
2019-W35,414
2019-W36,327
2019-W37,317
2019-W38,301
2019-W39,261
2019-W40,246
2019-W41,227
2019-W42,239
2019-W43,242
2019-W44,308
2019-W45,322
2019-W46,373
2019-W47,331
2019-W48,295
2019-W49,281
2019-W50,257
2019-W51,226
2019-W52,290
2020-W01,303
2020-W02,343
2020-W03,404
2020-W04,309
2020-W05,370
2020-W06,400
2020-W07,380
2020-W08,381
2020-W09,374
2020-W10,375
2020-W11,389
2020-W12,368
2020-W13,377
2020-W14,315
2020-W15,343
2020-W16,360
2020-W17,400
2020-W18,390
2020-W19,507
2020-W20,526
2020-W21,619
2020-W22,732
2020-W23,868
2020-W24,1153
2020-W25,1371
2020-W26,1460
2020-W27,1448
2020-W28,1667
2020-W29,1729
2020-W30,1792
2020-W31,1378
2020-W32,1667
2020-W33,1339
2020-W34,1287
2020-W35,1154
2020-W36,938
2020-W37,725
2020-W38,671
2020-W39,591
2020-W40,605
2020-W41,529
2020-W42,592
2020-W43,565
2020-W44,440
2020-W45,408
2020-W46,355
2020-W47,258
2020-W48,279
2020-W49,228
2020-W50,227
2020-W51,236
2020-W52,390
2021-W01,194
2021-W02,166
2021-W03,152
2021-W04,135
2021-W05,141
2021-W06,143
2021-W07,148
2021-W08,146
2021-W09,140
2021-W10,145
2021-W11,129
2021-W12,120
2021-W13,113
2021-W14,102
2021-W15,112
2021-W16,129
2021-W17,84
2021-W18,117
2021-W19,92
2021-W20,119
2021-W21,130
2021-W22,118
2021-W23,137
2021-W24,135
2021-W25,127
2021-W26,112
2021-W27,104
2021-W28,75
2021-W29,80
2021-W30,82
2021-W31,70
2021-W32,81
2021-W33,56
2021-W34,53
2021-W35,46
2021-W36,61
2021-W37,74
2021-W38,110
2021-W39,105
2021-W40,104
2021-W41,85
2021-W42,76
2021-W43,75
2021-W44,59
2021-W45,42
2021-W46,56
2021-W47,63
2021-W48,48
2021-W49,65
2021-W50,61
2021-W51,68
2021-W52,79
2022-W01,106
2022-W02,146
2022-W03,180
2022-W04,171
2022-W05,154
2022-W06,169
2022-W07,206
2022-W08,201
2022-W09,263
2022-W10,369
2022-W11,421
2022-W12,441
2022-W13,510
2022-W14,643
2022-W15,734
2022-W16,942
2022-W17,1003
2022-W18,846
2022-W19,1315
2022-W20,1276
2022-W21,1567
2022-W22,1454
2022-W23,1460
2022-W24,1254
2022-W25,1172
2022-W26,1187
2022-W27,1164
2022-W28,918
2022-W29,1036
2022-W30,1092
2022-W31,896
2022-W32,879
2022-W33,679
2022-W34,662
2022-W35,581
2022-W36,570
2022-W37,544
2022-W38,472
2022-W39,426
2022-W40,397
2022-W41,376
2022-W42,373
2022-W43,314
2022-W44,318
2022-W45,294
2022-W46,315
2022-W47,265
2022-W48,242
2022-W49,327
2022-W50,290
2022-W51,270
2022-W52,285
