postal_district,postal_sector,general_location
01,01,"Raffles Place, Cecil, Marina, People's Park"
01,02,"Raffles Place, Cecil, Marina, People's Park"
01,03,"Raffles Place, Cecil, Marina, People's Park"
01,04,"Raffles Place, Cecil, Marina, People's Park"
01,05,"Raffles Place, Cecil, Marina, People's Park"
01,06,"Raffles Place, Cecil, Marina, People's Park"
02,07,"Anson, Tanjong Pagar"
02,08,"Anson, Tanjong Pagar"
04,09,"Telok Blangah, Harbourfront"
04,10,"Telok Blangah, Harbourfront"
05,11,"Pasir Panjang, Hong Leong Garden, Clementi New Town"
05,12,"Pasir Panjang, Hong Leong Garden, Clementi New Town"
05,13,"Pasir Panjang, Hong Leong Garden, Clementi New Town"
03,14,"Queenstown, Tiong Bahru"
03,15,"Queenstown, Tiong Bahru"
03,16,"Queenstown, Tiong Bahru"
06,17,"High Street, Beach Road (part)"
07,18,"Middle Road, Golden Mile"
07,19,"Middle Road, Golden Mile"
08,20,Little India
08,21,Little India
09,22,"Orchard, Cairnhill, River Valley"
09,23,"Orchard, Cairnhill, River Valley"
10,24,"Ardmore, Bukit Timah, Holland Road, Tanglin"
10,25,"Ardmore, Bukit Timah, Holland Road, Tanglin"
10,26,"Ardmore, Bukit Timah, Holland Road, Tanglin"
10,27,"Ardmore, Bukit Timah, Holland Road, Tanglin"
11,28,"Watten Estate, Novena, Thomson"
11,29,"Watten Estate, Novena, Thomson"
11,30,"Watten Estate, Novena, Thomson"
12,31,"Balestier, Toa Payoh, Serangoon"
12,32,"Balestier, Toa Payoh, Serangoon"
12,33,"Balestier, Toa Payoh, Serangoon"
13,34,"Macpherson, Braddell"
13,35,"Macpherson, Braddell"
13,36,"Macpherson, Braddell"
13,37,"Macpherson, Braddell"
14,38,"Geylang, Eunos"
14,39,"Geylang, Eunos"
14,40,"Geylang, Eunos"
14,41,"Geylang, Eunos"
15,42,"Katong, Joo Chiat, Amber Road"
15,43,"Katong, Joo Chiat, Amber Road"
15,44,"Katong, Joo Chiat, Amber Road"
15,45,"Katong, Joo Chiat, Amber Road"
16,46,"Bedok, Upper East Coast, East Wood, Kew Drive"
16,47,"Bedok, Upper East Coast, East Wood, Kew Drive"
16,48,"Bedok, Upper East Coast, East Wood, Kew Drive"
17,49,"Loyang, Changi"
17,50,"Loyang, Changi"
18,51,"Tampines, Pasir Ris"
18,52,"Tampines, Pasir Ris"
19,53,"Serangoon Garden, Hougang, Punggol"
19,54,"Serangoon Garden, Hougang, Punggol"
19,55,"Serangoon Garden, Hougang, Punggol"
20,56,"Bishan, Ang Mo Kio"
20,57,"Bishan, Ang Mo Kio"
21,58,"Upper Bukit Timah, Clementi Park, Ulu Pandan"
21,59,"Upper Bukit Timah, Clementi Park, Ulu Pandan"
22,60,Jurong
22,61,Jurong
22,62,Jurong
22,63,Jurong
22,64,Jurong
23,65,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
23,66,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
23,67,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
23,68,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
24,69,"Lim Chu Kang, Tengah"
24,70,"Lim Chu Kang, Tengah"
24,71,"Lim Chu Kang, Tengah"
25,72,"Kranji, Woodgrove"
25,73,"Kranji, Woodgrove"
27,75,"Yishun, Sembawang"
27,76,"Yishun, Sembawang"
26,77,"Upper Thomson, Springleaf"
26,78,"Upper Thomson, Springleaf"
28,79,Seletar
28,80,Seletar
17,81,"Loyang, Changi"
19,82,"Serangoon Garden, Hougang, Punggol"