,total_rainfall,mean_temperature,minimum_temperature,minimum_temperature_mean,maximum_temperature,maximum_temperature_mean,mean_wind_speed,max_wind_speed,max_wind_speed_mean,dengue_cases,interest,inbound,outbound,year,week,cumulative_total_rainfall,cumulative_dengue_cases
2012-W01,106.8,26.7625,22.2,24.4625,31.4,31.4,11.4875,37.1,34.2375,74,8,239701,115076,2012,1,106.8,74
2012-W02,25.8,26.228571428571428,22.1,23.82857142857143,32.3,32.3,7.814285714285715,64.8,34.214285714285715,66,8,239701,115076,2012,2,132.6,140
2012-W03,28.0,26.914285714285715,22.9,24.471428571428568,32.5,32.5,7.357142857142857,33.8,28.04285714285714,61,6,239701,115076,2012,3,160.6,201
2012-W04,8.600000000000001,26.599999999999998,23.5,24.400000000000002,31.6,31.6,8.585714285714285,34.6,30.857142857142858,52,10,239701,115076,2012,4,169.2,253
2012-W05,55.7,26.485714285714288,21.5,23.942857142857143,31.6,31.6,10.542857142857143,40.3,33.17142857142857,85,7,239701,115076,2012,5,224.89999999999998,338
2012-W06,1.6,27.5,24.4,24.814285714285713,32.3,32.3,11.9,40.7,34.4,87,5,283638,132094,2012,6,226.49999999999997,425
2012-W07,38.2,26.67142857142857,22.7,23.97142857142857,31.9,31.9,7.914285714285714,42.1,30.942857142857143,65,6,283638,132094,2012,7,264.7,490
2012-W08,3.2,27.7,24.8,25.47142857142857,32.6,32.6,9.814285714285715,36.4,29.47142857142857,51,9,283638,132094,2012,8,267.9,541
2012-W09,26.4,27.142857142857142,23.8,24.97142857142857,33.2,33.2,7.542857142857143,53.3,33.81428571428571,55,6,283638,132094,2012,9,294.29999999999995,596
2012-W10,52.6,26.928571428571427,21.1,24.12857142857143,31.5,31.5,6.442857142857143,41.4,31.985714285714288,46,5,310783,171836,2012,10,346.9,642
2012-W11,125.4,26.642857142857142,22.7,24.314285714285713,32.1,32.1,8.385714285714286,36.7,31.371428571428574,64,5,310783,171836,2012,11,472.29999999999995,706
2012-W12,7.0,27.514285714285712,24.6,25.12857142857143,32.4,32.4,6.3,45.7,30.27142857142857,73,7,310783,171836,2012,12,479.29999999999995,779
2012-W13,127.0,27.17142857142857,22.9,24.142857142857142,32.8,32.8,6.6000000000000005,56.9,36.75714285714286,48,9,310783,171836,2012,13,606.3,827
2012-W14,30.799999999999997,27.228571428571428,21.9,24.142857142857142,31.7,31.7,6.571428571428571,50.0,35.01428571428571,52,8,240391,123682,2012,14,637.0999999999999,879
2012-W15,154.4,27.2,23.3,24.271428571428572,31.9,31.9,6.5,39.2,30.32857142857143,82,6,240391,123682,2012,15,791.4999999999999,961
2012-W16,45.4,27.542857142857144,23.9,24.942857142857143,32.7,32.7,6.071428571428571,39.2,29.928571428571427,77,5,240391,123682,2012,16,836.8999999999999,1038
2012-W17,2.5999999999999996,28.385714285714283,24.0,25.62857142857143,32.9,32.9,6.414285714285714,38.2,31.385714285714283,64,8,240391,123682,2012,17,839.4999999999999,1102
2012-W18,118.8,27.67142857142857,22.0,24.085714285714285,32.5,32.5,5.871428571428572,53.6,36.0,88,6,240391,123682,2012,18,958.2999999999998,1190
2012-W19,48.4,27.82857142857143,22.6,24.314285714285713,33.7,33.7,6.457142857142857,46.4,33.628571428571426,97,7,286612,168099,2012,19,1006.6999999999998,1287
2012-W20,52.4,28.685714285714287,22.9,25.057142857142857,33.7,33.7,6.871428571428572,43.9,33.72857142857143,80,8,286612,168099,2012,20,1059.1,1367
2012-W21,40.2,28.342857142857145,22.8,25.157142857142855,32.1,32.1,8.271428571428572,44.6,31.114285714285717,80,6,286612,168099,2012,21,1099.3,1447
2012-W22,34.8,28.17142857142857,24.3,25.599999999999998,32.3,32.3,7.014285714285714,37.1,29.885714285714283,81,5,286612,168099,2012,22,1134.1,1528
2012-W23,41.800000000000004,28.52857142857143,22.8,25.785714285714285,32.7,32.7,6.742857142857143,41.4,31.557142857142857,100,8,289435,196254,2012,23,1175.8999999999999,1628
2012-W24,0.0,29.24285714285714,26.8,27.24285714285714,32.5,32.5,10.742857142857144,36.4,31.014285714285712,88,8,289435,196254,2012,24,1175.8999999999999,1716
2012-W25,1.0,28.842857142857145,25.5,26.685714285714287,32.6,32.6,10.385714285714286,38.2,34.0,129,8,289435,196254,2012,25,1176.8999999999999,1845
2012-W26,13.6,28.514285714285712,24.9,26.057142857142857,32.5,32.5,9.685714285714285,49.7,36.51428571428572,151,8,289435,196254,2012,26,1190.4999999999998,1996
2012-W27,63.8,27.25714285714286,22.9,24.328571428571426,31.6,31.6,7.8,45.7,35.58571428571429,140,9,256722,113464,2012,27,1254.2999999999997,2136
2012-W28,34.8,27.385714285714283,24.3,25.314285714285713,31.0,31.0,8.457142857142857,43.2,32.971428571428575,132,13,256722,113464,2012,28,1289.0999999999997,2268
2012-W29,28.400000000000002,27.385714285714283,23.8,25.142857142857142,31.5,31.5,7.3428571428571425,34.6,29.571428571428573,125,7,256722,113464,2012,29,1317.4999999999998,2393
2012-W30,0.0,28.542857142857144,25.4,26.17142857142857,32.1,32.1,12.014285714285714,45.4,37.08571428571429,110,9,256722,113464,2012,30,1317.4999999999998,2503
2012-W31,23.799999999999997,28.214285714285715,23.1,25.74285714285714,31.5,31.5,12.314285714285715,36.7,35.31428571428571,94,5,256722,113464,2012,31,1341.2999999999997,2597
2012-W32,0.0,28.414285714285715,24.8,26.02857142857143,32.3,32.3,12.785714285714286,41.4,36.25714285714286,127,11,328401,143315,2012,32,1341.2999999999997,2724
2012-W33,30.8,28.3,23.5,25.37142857142857,32.7,32.7,12.842857142857143,45.4,40.528571428571425,115,11,328401,143315,2012,33,1372.0999999999997,2839
2012-W34,31.2,28.04285714285714,24.4,25.62857142857143,32.1,32.1,10.385714285714286,52.9,40.142857142857146,92,4,328401,143315,2012,34,1403.2999999999997,2931
2012-W35,33.4,27.285714285714285,23.4,25.057142857142857,32.1,32.1,9.328571428571427,44.3,37.34285714285714,102,7,328401,143315,2012,35,1436.6999999999998,3033
2012-W36,66.8,27.271428571428572,22.5,24.385714285714283,32.0,32.0,9.228571428571428,79.6,39.18571428571429,76,7,262837,153769,2012,36,1503.4999999999998,3109
2012-W37,1.8,27.985714285714288,24.8,25.785714285714285,31.5,31.5,7.585714285714286,37.1,29.728571428571428,74,7,262837,153769,2012,37,1505.2999999999997,3183
2012-W38,0.0,28.37142857142857,25.5,26.114285714285717,32.6,32.6,7.785714285714286,41.8,31.02857142857143,72,7,262837,153769,2012,38,1505.2999999999997,3255
2012-W39,39.0,27.814285714285713,22.9,24.385714285714283,32.7,32.7,7.357142857142857,52.6,33.114285714285714,100,6,262837,153769,2012,39,1544.2999999999997,3355
2012-W40,17.4,28.157142857142855,25.0,25.728571428571428,32.8,32.8,6.514285714285714,33.8,30.02857142857143,104,9,238516,132027,2012,40,1561.6999999999998,3459
2012-W41,40.0,27.685714285714287,23.5,24.9,32.6,32.6,5.985714285714286,49.0,30.485714285714284,123,6,238516,132027,2012,41,1601.6999999999998,3582
2012-W42,56.2,26.657142857142855,23.7,24.47142857142857,32.4,32.4,5.457142857142857,41.4,29.914285714285715,105,7,238516,132027,2012,42,1657.8999999999999,3687
2012-W43,0.0,28.542857142857144,24.6,25.728571428571428,33.1,33.1,8.128571428571428,38.5,27.0,84,6,238516,132027,2012,43,1657.8999999999999,3771
2012-W44,37.0,27.0,23.7,24.642857142857142,32.8,32.8,6.485714285714286,37.4,32.48571428571429,104,9,238516,132027,2012,44,1694.8999999999999,3875
2012-W45,27.8,27.185714285714287,23.5,24.957142857142856,32.0,32.0,5.714285714285714,30.2,26.17142857142857,100,8,303020,198808,2012,45,1722.6999999999998,3975
2012-W46,42.0,27.114285714285717,24.0,24.985714285714288,32.6,32.6,5.757142857142857,39.6,28.75714285714286,88,9,303020,198808,2012,46,1764.6999999999998,4063
2012-W47,103.20000000000002,27.071428571428573,23.4,24.328571428571426,32.7,32.7,5.914285714285714,46.8,32.4,100,5,303020,198808,2012,47,1867.8999999999999,4163
2012-W48,8.2,27.428571428571427,24.3,25.085714285714285,32.2,32.2,5.642857142857143,29.2,24.385714285714283,80,8,303020,198808,2012,48,1876.1,4243
2012-W49,69.8,27.12857142857143,22.7,24.685714285714287,32.2,32.2,7.014285714285714,38.9,30.3,78,6,340134,242467,2012,49,1945.8999999999999,4321
2012-W50,138.4,26.342857142857145,22.3,23.82857142857143,31.9,31.9,6.1,34.9,31.74285714285714,105,5,340134,242467,2012,50,2084.2999999999997,4426
2012-W51,64.8,26.614285714285717,23.3,24.099999999999998,31.6,31.6,6.257142857142857,32.0,28.928571428571427,94,7,340134,242467,2012,51,2149.1,4520
2012-W52,10.2,26.728571428571428,24.1,24.957142857142856,31.3,31.3,6.742857142857143,29.5,26.52857142857143,112,5,340134,242467,2012,52,2159.2999999999997,4632
2013-W01,28.6,26.9625,23.1,24.525,32.5,32.5,7.7375,33.8,30.1,134,10,322930,133638,2013,1,28.6,134
2013-W02,93.80000000000001,27.285714285714285,21.6,24.157142857142855,35.2,35.2,7.757142857142857,56.2,36.58571428571429,205,10,322930,133638,2013,2,122.4,339
2013-W03,148.0,26.414285714285715,22.6,24.728571428571428,32.0,32.0,7.771428571428571,35.6,21.542857142857144,219,13,322930,133638,2013,3,270.4,558
2013-W04,7.3999999999999995,26.985714285714288,23.7,24.542857142857144,31.1,31.1,10.914285714285715,33.8,31.67142857142857,267,11,322930,133638,2013,4,277.79999999999995,825
2013-W05,41.8,27.557142857142857,24.7,25.285714285714285,32.1,32.1,12.585714285714285,39.6,35.27142857142857,293,16,305341,146717,2013,5,319.59999999999997,1118
2013-W06,71.0,26.2,21.5,23.82857142857143,31.3,31.3,6.928571428571429,35.3,27.714285714285715,322,14,305341,146717,2013,6,390.59999999999997,1440
2013-W07,156.8,25.685714285714287,22.6,23.814285714285713,30.7,30.7,7.185714285714285,33.5,29.428571428571427,247,12,305341,146717,2013,7,547.4,1687
2013-W08,19.4,27.02857142857143,24.5,24.728571428571428,32.5,32.5,7.8,31.0,26.857142857142858,296,15,305341,146717,2013,8,566.8,1983
2013-W09,128.8,27.47142857142857,23.0,24.900000000000002,32.9,32.9,8.428571428571429,50.4,32.81428571428571,249,16,342223,184291,2013,9,695.5999999999999,2232
2013-W10,4.4,27.900000000000002,24.4,25.47142857142857,32.1,32.1,11.042857142857143,39.6,32.51428571428571,273,13,342223,184291,2013,10,699.9999999999999,2505
2013-W11,11.8,28.12857142857143,24.3,25.2,33.5,33.5,9.5,32.4,30.8,308,8,342223,184291,2013,11,711.7999999999998,2813
2013-W12,29.6,28.571428571428573,25.5,26.085714285714285,33.4,33.4,9.657142857142857,43.9,32.91428571428572,307,15,342223,184291,2013,12,741.3999999999999,3120
2013-W13,17.4,28.642857142857142,23.9,25.82857142857143,33.8,33.8,6.614285714285714,35.6,30.642857142857142,316,19,254849,121123,2013,13,758.7999999999998,3436
2013-W14,77.60000000000001,28.32857142857143,23.4,25.557142857142857,34.0,34.0,6.557142857142857,57.2,36.1,406,35,254849,121123,2013,14,836.3999999999999,3842
2013-W15,17.2,28.057142857142857,22.1,25.428571428571427,33.6,33.6,6.242857142857143,50.0,30.7,492,33,254849,121123,2013,15,853.5999999999999,4334
2013-W16,30.2,28.514285714285712,23.4,25.25714285714286,34.9,34.9,6.628571428571428,41.0,31.3,509,29,254849,121123,2013,16,883.8,4843
2013-W17,34.400000000000006,27.8,24.0,25.071428571428573,33.4,33.4,5.614285714285714,75.2,34.142857142857146,538,40,254849,121123,2013,17,918.1999999999999,5381
2013-W18,9.0,28.457142857142856,24.7,25.928571428571427,33.1,33.1,7.357142857142857,37.4,34.142857142857146,547,33,322070,174302,2013,18,927.1999999999999,5928
2013-W19,93.8,27.957142857142856,23.5,25.7,33.6,33.6,6.642857142857143,43.2,33.42857142857143,558,29,322070,174302,2013,19,1020.9999999999999,6486
2013-W20,48.0,28.74285714285714,22.9,25.814285714285713,33.9,33.9,7.0,44.3,29.842857142857145,611,29,322070,174302,2013,20,1069.0,7097
2013-W21,31.0,28.228571428571428,23.9,25.557142857142857,33.4,33.4,5.542857142857143,45.7,28.74285714285714,640,60,322070,174302,2013,21,1100.0,7737
2013-W22,52.0,27.67142857142857,22.6,24.67142857142857,33.1,33.1,5.928571428571429,33.5,26.914285714285715,746,53,322238,217664,2013,22,1152.0,8483
2013-W23,59.4,27.814285714285713,22.9,24.642857142857142,33.7,33.7,6.2,35.6,29.599999999999998,814,100,322238,217664,2013,23,1211.4,9297
2013-W24,20.0,29.642857142857142,24.9,26.557142857142857,33.6,33.6,6.328571428571428,44.3,33.885714285714286,809,76,322238,217664,2013,24,1231.4,10106
2013-W25,0.0,30.02857142857143,25.9,26.928571428571427,34.5,34.5,6.3428571428571425,37.4,29.87142857142857,842,47,322238,217664,2013,25,1231.4,10948
2013-W26,9.6,28.714285714285715,23.0,25.842857142857145,33.7,33.7,6.328571428571428,41.0,29.857142857142858,806,47,283931,117464,2013,26,1241.0,11754
2013-W27,4.800000000000001,28.085714285714285,24.4,25.614285714285717,32.4,32.4,7.1000000000000005,38.2,29.514285714285712,678,32,283931,117464,2013,27,1245.8,12432
2013-W28,48.4,27.485714285714288,23.4,24.82857142857143,32.4,32.4,6.271428571428571,37.1,30.02857142857143,541,31,283931,117464,2013,28,1294.2,12973
2013-W29,45.8,27.614285714285717,23.7,25.25714285714286,33.5,33.5,6.857142857142857,35.6,30.12857142857143,390,24,283931,117464,2013,29,1340.0,13363
2013-W30,57.0,27.885714285714283,22.9,25.157142857142855,33.2,33.2,7.871428571428572,40.0,32.471428571428575,306,23,283931,117464,2013,30,1397.0,13669
2013-W31,26.799999999999997,27.771428571428572,22.0,24.914285714285715,31.8,31.8,8.1,40.0,34.871428571428574,289,16,370880,159929,2013,31,1423.8,13958
2013-W32,116.4,27.357142857142858,21.6,24.02857142857143,31.3,31.3,7.6571428571428575,41.8,32.957142857142856,256,24,370880,159929,2013,32,1540.2,14214
2013-W33,19.8,27.8,21.7,24.942857142857143,31.5,31.5,8.742857142857144,41.4,31.685714285714287,378,21,370880,159929,2013,33,1560.0,14592
2013-W34,10.6,28.37142857142857,23.9,25.957142857142856,32.0,32.0,10.614285714285714,47.2,36.4,341,21,370880,159929,2013,34,1570.6,14933
2013-W35,11.0,28.085714285714285,24.6,25.842857142857145,32.8,32.8,9.985714285714286,42.1,33.44285714285714,386,15,235228,139402,2013,35,1581.6,15319
2013-W36,106.39999999999999,26.400000000000002,21.9,23.37142857142857,32.0,32.0,5.5,46.1,32.1,452,20,235228,139402,2013,36,1688.0,15771
2013-W37,39.800000000000004,27.24285714285714,23.3,24.82857142857143,32.0,32.0,7.785714285714286,40.3,33.67142857142857,339,20,235228,139402,2013,37,1727.8,16110
2013-W38,21.4,28.47142857142857,22.8,25.900000000000002,32.2,32.2,8.8,38.2,32.357142857142854,376,15,235228,139402,2013,38,1749.2,16486
2013-W39,88.6,28.071428571428573,21.9,25.014285714285712,32.9,32.9,7.728571428571429,51.1,36.25714285714286,406,25,235228,139402,2013,39,1837.8,16892
2013-W40,26.799999999999997,27.8,22.7,24.342857142857145,32.3,32.3,7.485714285714286,50.0,34.18571428571429,441,22,300936,179386,2013,40,1864.6,17333
2013-W41,48.0,28.2,23.0,25.3,33.2,33.2,7.014285714285714,50.0,32.94285714285714,438,20,300936,179386,2013,41,1912.6,17771
2013-W42,194.0,27.785714285714285,20.9,24.099999999999998,32.7,32.7,7.328571428571428,52.2,32.91428571428572,374,29,300936,179386,2013,42,2106.6,18145
2013-W43,5.2,27.3,23.3,24.685714285714287,32.6,32.6,6.642857142857143,36.0,29.97142857142857,495,22,300936,179386,2013,43,2111.7999999999997,18640
2013-W44,69.8,27.114285714285717,24.1,24.514285714285712,32.3,32.3,5.8428571428571425,36.7,31.271428571428572,458,22,296000,223955,2013,44,2181.6,19098
2013-W45,102.8,27.057142857142857,23.2,24.428571428571427,32.6,32.6,5.785714285714286,36.7,27.885714285714283,402,21,296000,223955,2013,45,2284.4,19500
2013-W46,30.6,26.8,23.2,24.342857142857145,32.7,32.7,6.071428571428571,32.8,28.557142857142857,444,25,296000,223955,2013,46,2315.0,19944
2013-W47,16.4,27.728571428571428,22.9,24.642857142857142,32.9,32.9,6.8999999999999995,34.2,30.457142857142856,365,18,296000,223955,2013,47,2331.4,20309
2013-W48,110.2,26.900000000000002,23.4,24.5,32.8,32.8,6.357142857142857,31.3,27.157142857142855,372,17,273481,215519,2013,48,2441.6,20681
2013-W49,177.6,25.67142857142857,22.7,23.61428571428571,31.1,31.1,6.7,31.7,26.814285714285713,347,16,273481,215519,2013,49,2619.2,21028
2013-W50,37.0,27.02857142857143,21.6,24.157142857142855,32.0,32.0,7.828571428571428,33.5,28.071428571428573,381,18,273481,215519,2013,50,2656.2,21409
2013-W51,87.6,26.62857142857143,21.2,23.485714285714288,33.7,33.7,8.042857142857143,48.2,33.25714285714286,371,13,273481,215519,2013,51,2743.7999999999997,21780
2013-W52,4.6,26.7,23.9,24.97142857142857,30.6,30.6,10.914285714285715,43.6,35.857142857142854,414,17,273481,215519,2013,52,2748.3999999999996,22194
2014-W01,20.4,26.3375,23.3,24.55,31.1,31.1,9.0,37.1,31.45,437,22,336460,156662,2014,1,20.4,437
2014-W02,57.0,26.37142857142857,23.7,24.12857142857143,31.8,31.8,7.514285714285714,34.9,29.685714285714287,479,20,336460,156662,2014,2,77.4,916
2014-W03,0.0,26.24285714285714,23.5,24.314285714285713,30.3,30.3,13.214285714285714,40.0,37.34285714285714,401,17,336460,156662,2014,3,77.4,1317
2014-W04,0.0,25.7,22.7,23.52857142857143,29.4,29.4,12.285714285714286,41.4,36.41428571428572,336,12,336460,156662,2014,4,77.4,1653
2014-W05,0.0,26.057142857142857,22.4,23.342857142857145,31.6,31.6,13.671428571428573,42.8,38.357142857142854,234,13,309560,143100,2014,5,77.4,1887
2014-W06,0.2,26.585714285714285,22.9,23.599999999999998,32.7,32.7,11.685714285714285,34.2,30.728571428571428,274,17,309560,143100,2014,6,77.60000000000001,2161
2014-W07,0.0,27.714285714285715,24.8,25.185714285714287,33.8,33.8,13.942857142857141,41.0,36.67142857142857,369,14,309560,143100,2014,7,77.60000000000001,2530
2014-W08,0.0,27.7,24.4,25.185714285714287,32.6,32.6,15.214285714285714,42.8,37.528571428571425,194,17,309560,143100,2014,8,77.60000000000001,2724
2014-W09,0.0,27.514285714285712,24.0,24.685714285714287,33.8,33.8,14.685714285714285,41.4,39.771428571428565,187,17,259510,151449,2014,9,77.60000000000001,2911
2014-W10,0.0,27.657142857142855,23.8,24.400000000000002,33.5,33.5,12.700000000000001,42.1,37.24285714285714,210,9,259510,151449,2014,10,77.60000000000001,3121
2014-W11,52.6,27.97142857142857,23.6,24.985714285714288,34.1,34.1,13.085714285714285,41.4,38.57142857142857,225,9,259510,151449,2014,11,130.20000000000002,3346
2014-W12,13.0,27.428571428571427,24.2,25.0,33.6,33.6,9.028571428571428,36.0,30.74285714285714,210,12,259510,151449,2014,12,143.20000000000002,3556
2014-W13,0.4,28.571428571428573,24.7,25.7,34.4,34.4,10.728571428571428,37.1,34.1,225,14,259510,151449,2014,13,143.60000000000002,3781
2014-W14,25.599999999999998,28.32857142857143,22.8,25.785714285714285,34.2,34.2,8.685714285714285,43.2,33.48571428571429,240,11,311327,167555,2014,14,169.20000000000002,4021
2014-W15,29.2,27.8,23.9,25.071428571428573,34.5,34.5,6.757142857142857,43.2,32.357142857142854,245,13,311327,167555,2014,15,198.4,4266
2014-W16,29.2,28.471428571428568,23.5,25.7,33.4,33.4,7.214285714285714,33.1,28.900000000000002,235,14,311327,167555,2014,16,227.6,4501
2014-W17,7.6000000000000005,28.342857142857145,24.7,25.37142857142857,34.4,34.4,7.028571428571429,40.3,33.214285714285715,282,16,311327,167555,2014,17,235.2,4783
2014-W18,20.2,28.857142857142858,24.5,26.271428571428572,33.7,33.7,7.1571428571428575,35.3,29.271428571428572,251,11,302133,182715,2014,18,255.39999999999998,5034
2014-W19,30.599999999999998,28.928571428571427,24.3,26.32857142857143,33.8,33.8,7.3,37.8,32.44285714285714,261,14,302133,182715,2014,19,286.0,5295
2014-W20,56.599999999999994,28.457142857142856,23.0,25.685714285714287,33.1,33.1,5.957142857142857,42.5,31.314285714285713,291,16,302133,182715,2014,20,342.6,5586
2014-W21,15.6,27.985714285714288,23.2,25.0,32.6,32.6,7.1571428571428575,34.6,29.928571428571427,428,17,302133,182715,2014,21,358.20000000000005,6014
2014-W22,39.2,28.442857142857143,24.2,25.74285714285714,32.7,32.7,6.757142857142858,42.1,33.885714285714286,456,14,236284,179300,2014,22,397.40000000000003,6470
2014-W23,19.6,28.414285714285715,25.3,26.342857142857145,32.6,32.6,8.299999999999999,39.6,31.82857142857143,459,19,236284,179300,2014,23,417.00000000000006,6929
2014-W24,24.8,29.2,23.0,25.97142857142857,33.0,33.0,7.257142857142857,60.5,36.47142857142857,506,20,236284,179300,2014,24,441.80000000000007,7435
2014-W25,5.6,29.87142857142857,23.9,26.87142857142857,33.6,33.6,8.985714285714286,43.9,31.814285714285713,551,18,236284,179300,2014,25,447.4000000000001,7986
2014-W26,1.0,29.0,25.2,26.485714285714288,33.2,33.2,7.271428571428571,39.6,32.65714285714286,671,25,236284,179300,2014,26,448.4000000000001,8657
2014-W27,25.0,28.25714285714286,23.9,25.24285714285714,32.6,32.6,6.385714285714286,44.3,35.22857142857143,891,33,352100,151508,2014,27,473.4000000000001,9548
2014-W28,55.8,28.17142857142857,22.6,24.67142857142857,32.1,32.1,7.685714285714285,59.8,37.199999999999996,819,30,352100,151508,2014,28,529.2,10367
2014-W29,8.4,29.157142857142855,23.4,26.771428571428572,32.5,32.5,9.857142857142858,46.4,32.24285714285714,746,31,352100,151508,2014,29,537.6,11113
2014-W30,27.8,29.47142857142857,23.2,27.071428571428573,33.2,33.2,11.442857142857141,35.6,33.98571428571429,634,26,352100,151508,2014,30,565.4,11747
2014-W31,45.8,28.271428571428572,21.1,24.942857142857143,32.0,32.0,8.471428571428572,70.6,37.699999999999996,484,27,340734,154314,2014,31,611.1999999999999,12231
2014-W32,20.2,27.8,23.6,25.314285714285713,31.7,31.7,8.814285714285715,52.9,40.357142857142854,545,26,340734,154314,2014,32,631.4,12776
2014-W33,45.6,27.271428571428572,23.5,25.457142857142856,30.8,30.8,7.528571428571429,40.3,30.342857142857145,438,26,340734,154314,2014,33,677.0,13214
2014-W34,24.8,28.12857142857143,24.7,25.928571428571427,31.9,31.9,10.157142857142857,46.8,35.22857142857143,418,21,340734,154314,2014,34,701.8,13632
2014-W35,138.6,27.014285714285712,22.0,23.8,31.6,31.6,7.371428571428572,44.6,35.642857142857146,367,18,219725,142660,2014,35,840.4,13999
2014-W36,10.0,28.085714285714285,23.4,25.185714285714287,32.5,32.5,8.371428571428572,45.7,32.24285714285715,339,16,219725,142660,2014,36,850.4,14338
2014-W37,5.6,28.5,24.9,25.62857142857143,32.0,32.0,9.214285714285714,40.3,35.32857142857143,362,14,219725,142660,2014,37,856.0,14700
2014-W38,35.2,28.82857142857143,22.4,25.985714285714288,32.9,32.9,11.357142857142858,61.9,40.728571428571435,397,11,219725,142660,2014,38,891.2,15097
